step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
503808,3912,,86.00,29.00,43.25,88.7
1007616,7030,,34.00,6.00,13.00,166.5
1511424,10101,,28.00,0.00,7.00,254.6
2002944,13105,,22.00,1.00,6.25,344.5
2506752,16161,,10.00,0.00,2.50,429.3
3010560,19211,,16.00,0.00,4.00,498.7
3502080,22155,,22.00,2.00,7.00,564.4
4005888,25136,,10.00,1.00,3.25,640.1
4509696,28102,,8.00,0.00,2.00,709.1
5001216,31010,,8.00,2.00,3.50,774.9
5505024,33931,,4.00,2.00,2.50,842.1
6008832,36852,,2.00,1.00,1.25,909.3
6500352,39716,,10.00,5.00,6.25,975.0
7004160,42671,,4.00,1.00,1.75,1042.4
7507968,45605,,2.00,2.00,2.00,1109.7
8011776,48553,,22.00,11.00,13.75,1177.3
8503296,51371,,18.00,5.00,8.25,1243.2
9007104,54277,,4.00,6.00,5.50,1310.8
9510912,57154,,2.00,4.00,3.50,1378.5
10002432,59932,,14.00,9.00,10.25,1444.1
10506240,62760,,12.00,8.00,9.00,1511.5
11010048,65580,,12.00,12.00,12.00,1579.0
11501568,68347,,6.00,12.00,10.50,1644.8
12005376,71143,,16.00,12.00,13.00,1712.9
12509184,73961,,26.00,9.00,13.25,1780.6
13000704,76719,,24.00,11.00,14.25,1846.6
13504512,79502,,28.00,17.00,19.75,1914.2
14008320,82298,,16.00,7.00,9.25,1982.0
14512128,85065,,32.00,4.00,11.00,2049.7
15003648,87729,,20.00,16.00,17.00,2116.4
15507456,90462,,30.00,16.00,19.50,2184.2
16011264,93176,,18.00,20.00,19.50,2252.1
16502784,95776,,24.00,32.00,30.00,2318.4
17006592,98441,,12.00,22.00,19.50,2386.4
17510400,101119,,26.00,32.00,30.50,2454.5
18001920,103686,,16.00,12.00,13.00,2521.3
18505728,106341,,6.00,17.00,14.25,2589.2
19009536,108957,,18.00,33.00,29.25,2657.6
19501056,111516,,16.00,16.00,16.00,2724.1
20004864,114128,,16.00,22.00,20.50,2792.2
20508672,116716,,10.00,7.00,7.75,2860.5
21000192,119228,,8.00,21.00,17.75,2927.1
21504000,121776,,6.00,17.00,14.25,2995.3
22007808,124322,,6.00,13.00,11.25,3063.2
22511616,126853,,12.00,20.00,18.00,3131.8
23003136,129314,,12.00,30.00,25.50,3198.6
23506944,131828,,14.00,21.00,19.25,3267.1
