step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
503808,3347,,64.00,16.00,28.00,250.3
1007616,4924,,66.00,18.00,30.00,499.5
1511424,6312,,36.00,5.00,12.75,761.5
2002944,7592,,32.00,8.00,14.00,1022.6
2506752,8866,,48.00,8.00,18.00,1292.4
3010560,10064,,50.00,8.00,18.50,1564.0
3502080,11207,,26.00,9.00,13.25,1829.8
4005888,12351,,20.00,7.00,10.25,2102.7
4509696,13530,,28.00,5.00,10.75,2377.4
5001216,14626,,14.00,3.00,5.75,2647.3
5505024,15744,,18.00,5.00,8.25,2924.8
6008832,16851,,22.00,7.00,10.75,3203.1
6500352,17922,,22.00,4.00,8.50,3475.9
7004160,19021,,34.00,8.00,14.50,3755.4
7507968,20094,,16.00,4.00,7.00,4035.3
8011776,21153,,24.00,11.00,14.25,4316.2
8503296,22192,,24.00,4.00,9.00,4589.7
9007104,23259,,20.00,5.00,8.75,4869.3
9510912,24330,,28.00,8.00,13.00,5149.3
10002432,25406,,26.00,12.00,15.50,5423.3
10506240,26485,,24.00,5.00,9.75,5702.7
11010048,27568,,26.00,7.00,11.75,5983.5
11501568,28622,,26.00,6.00,11.00,6256.8
12005376,29685,,24.00,10.00,13.50,6537.1
12509184,30763,,26.00,6.00,11.00,6817.3
13000704,31805,,28.00,10.00,14.50,7091.6
13504512,32872,,24.00,9.00,12.75,7373.2
14008320,33968,,44.00,7.00,16.25,7654.5
14512128,35042,,24.00,4.00,9.00,7936.5
15003648,36108,,26.00,4.00,9.50,8211.3
15507456,37181,,4.00,3.00,3.25,8492.9
16011264,38263,,30.00,3.00,9.75,8774.7
16502784,39342,,28.00,5.00,10.75,9049.2
17006592,40442,,18.00,8.00,10.50,9330.3
17510400,41536,,20.00,4.00,8.00,9611.2
18001920,42573,,20.00,8.00,11.00,9885.9
18505728,43615,,34.00,7.00,13.75,10166.5
19009536,44706,,16.00,9.00,10.75,10449.1
19501056,45798,,22.00,3.00,7.75,10724.0
20004864,46918,,10.00,7.00,7.75,11005.8
20508672,47983,,20.00,7.00,10.25,11287.6
21000192,49035,,14.00,4.00,6.50,11561.7
21504000,50133,,26.00,2.00,8.00,11844.1
22007808,51218,,22.00,11.00,13.75,12125.5
22511616,52329,,8.00,7.00,7.25,12406.9
23003136,53402,,20.00,7.00,10.25,12681.4
23506944,54465,,14.00,5.00,7.25,12963.2
