step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
503808,3254,0.47079,44.00,5.00,14.75,51.5
1007616,5414,-0.15047,64.00,2.00,17.50,101.6
1511424,7563,-0.57818,44.00,4.00,14.00,151.9
2002944,9550,-0.45868,66.00,5.00,20.25,200.9
2506752,11594,-0.47039,52.00,7.00,18.25,251.0
3010560,13603,0.24533,60.00,4.00,18.00,301.3
3502080,15456,-0.67856,70.00,4.00,20.50,350.7
4005888,17288,-0.67036,68.00,0.00,17.00,401.1
4509696,19106,-0.48035,70.00,9.00,24.25,451.1
5001216,21441,-0.60884,84.00,21.00,36.75,500.0
5505024,24155,-0.66685,94.00,21.00,39.25,549.9
6008832,26652,0.10078,88.00,13.00,31.75,599.8
6500352,29022,-0.50931,88.00,15.00,33.25,648.7
7004160,31551,0.15453,82.00,18.00,34.00,698.5
7507968,35116,-0.11853,86.00,36.00,48.50,748.3
8011776,38500,-0.63835,84.00,36.00,48.00,798.0
8503296,42130,-0.68645,72.00,44.00,51.00,846.4
9007104,45856,0.07329,76.00,40.00,49.00,895.9
9510912,49930,-0.71663,80.00,36.00,47.00,945.4
10002432,54176,-0.61709,84.00,41.00,51.75,993.8
10506240,58146,0.08953,80.00,39.00,49.25,1043.3
11010048,60961,-0.55397,82.00,16.00,32.50,1093.3
11501568,63122,-0.62133,80.00,23.00,37.25,1142.1
12005376,65342,-0.60752,68.00,22.00,33.50,1192.3
12509184,67513,-0.65574,60.00,16.00,27.00,1242.1
13000704,69822,-0.48806,70.00,28.00,38.50,1290.8
13504512,72116,-0.53157,84.00,22.00,37.50,1341.0
14008320,74398,-0.60263,76.00,18.00,32.50,1390.8
14512128,76775,-0.57409,74.00,20.00,33.50,1440.8
15003648,79121,-0.56840,78.00,20.00,34.50,1489.5
15507456,81377,-0.53344,64.00,20.00,31.00,1539.5
16011264,83475,-0.75422,56.00,24.00,32.00,1589.5
16502784,85615,-0.67717,70.00,33.00,42.25,1638.5
17006592,87605,-0.43179,60.00,19.00,29.25,1688.5
17510400,89094,0.36565,64.00,29.00,37.75,1738.4
18001920,90401,-0.52463,90.00,24.00,40.50,1787.0
18505728,91285,-0.64252,64.00,29.00,37.75,1836.8
19009536,91285,-0.55345,72.00,36.00,45.00,1886.2
19501056,91285,-0.55751,82.00,35.00,46.75,1934.3
20004864,91285,-0.54514,84.00,31.00,44.25,1983.6
20508672,91285,-0.57181,72.00,34.00,43.50,2033.0
21000192,91285,-0.58117,80.00,27.00,40.25,2081.5
21504000,91285,-0.55161,70.00,29.00,39.25,2131.0
22007808,91285,-0.53070,78.00,30.00,42.00,2180.6
22511616,91285,-0.54370,82.00,28.00,41.50,2229.9
23003136,91285,-0.54226,88.00,30.00,44.50,2278.2
23506944,91285,-0.52377,82.00,24.00,38.50,2327.7
