step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
503808,3732,0.50542,80.00,0.00,20.00,60.2
1007616,6041,0.64289,52.00,0.00,13.00,117.2
1511424,8261,0.42098,98.00,1.00,25.25,182.5
2002944,10256,0.66306,88.00,45.00,55.75,239.6
2506752,12597,0.44744,62.00,0.00,15.50,296.5
3010560,14563,-0.63340,98.00,0.00,24.50,353.2
3502080,16814,-0.62005,88.00,0.00,22.00,407.6
4005888,18419,0.81125,0.00,0.00,0.00,465.0
4509696,18485,0.69678,0.00,0.00,0.00,522.3
5001216,18485,0.71080,0.00,0.00,0.00,578.2
5505024,18485,0.69088,0.00,0.00,0.00,635.4
6008832,18485,0.48379,0.00,0.00,0.00,692.8
6500352,18485,0.05597,0.00,0.00,0.00,748.9
7004160,18485,-0.26312,0.00,0.00,0.00,806.3
7507968,18485,-0.36397,0.00,0.00,0.00,863.6
8011776,18485,-0.39856,0.00,0.00,0.00,921.1
8503296,18485,-0.42242,0.00,0.00,0.00,977.2
9007104,18485,-0.42247,0.00,0.00,0.00,1034.6
9510912,18485,-0.44104,0.00,0.00,0.00,1092.1
10002432,18485,-0.44535,0.00,0.00,0.00,1149.0
10506240,18485,-0.46865,0.00,0.00,0.00,1206.5
11010048,18485,-0.46733,0.00,0.00,0.00,1264.0
11501568,18485,-0.48775,0.00,0.00,0.00,1320.2
12005376,18485,-0.47731,0.00,0.00,0.00,1391.2
12509184,18485,-0.49299,0.00,0.00,0.00,1464.3
13000704,18485,-0.49566,0.00,0.00,0.00,1524.2
13504512,18485,-0.49057,0.00,0.00,0.00,1581.7
14008320,18485,-0.48729,0.00,0.00,0.00,1639.2
14512128,18485,-0.50334,0.00,0.00,0.00,1696.5
15003648,18485,-0.48968,0.00,0.00,0.00,1752.8
15507456,18485,-0.50171,0.00,0.00,0.00,1810.2
16011264,18485,-0.48001,0.00,0.00,0.00,1867.4
16502784,18485,-0.48674,0.00,0.00,0.00,1923.4
17006592,18485,-0.51423,0.00,0.00,0.00,1980.8
17510400,18485,-0.49345,0.00,0.00,0.00,2038.2
18001920,18485,-0.51575,0.00,0.00,0.00,2094.4
18505728,18485,-0.51061,0.00,0.00,0.00,2151.7
19009536,18485,-0.51311,0.00,0.00,0.00,2209.1
19501056,18485,-0.50587,0.00,0.00,0.00,2265.1
20004864,18485,-0.48732,0.00,0.00,0.00,2322.5
20508672,18485,-0.51335,0.00,0.00,0.00,2380.5
21000192,18485,-0.49978,0.00,0.00,0.00,2436.8
21504000,18485,-0.50663,0.00,0.00,0.00,2494.4
22007808,18485,-0.49221,0.00,0.00,0.00,2551.8
22511616,18485,-0.49472,0.00,0.00,0.00,2609.2
23003136,18485,-0.48612,0.00,0.00,0.00,2688.9
23506944,18485,-0.50696,0.00,0.00,0.00,2858.9
