step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
503808,3396,0.47846,16.00,0.00,4.00,57.6
1007616,5583,0.62188,96.00,0.00,24.00,113.1
1511424,7641,0.60091,20.00,0.00,5.00,169.1
2002944,9173,0.02705,42.00,0.00,10.50,224.9
2506752,10857,-0.66237,76.00,0.00,19.00,281.6
3010560,13421,-0.39397,74.00,0.00,18.50,337.3
3502080,15814,-0.66586,68.00,13.00,26.75,389.4
4005888,20200,-0.75420,92.00,8.00,29.00,444.6
4509696,24966,-0.69219,72.00,13.00,27.75,498.1
5001216,38745,-0.69370,70.00,13.00,27.25,550.1
5505024,53147,-0.65129,70.00,16.00,29.50,603.3
6008832,67579,-0.61681,74.00,11.00,26.75,656.8
6500352,81672,-0.63469,78.00,14.00,30.00,708.9
7004160,96107,-0.63420,78.00,13.00,29.25,762.4
7507968,110531,-0.62139,78.00,13.00,29.25,815.9
8011776,124978,-0.66404,68.00,11.00,25.25,869.4
8503296,139065,-0.64474,82.00,11.00,28.75,921.6
9007104,153475,-0.64641,72.00,17.00,30.75,975.0
9510912,167906,-0.64523,68.00,19.00,31.25,1028.4
10002432,181994,-0.64326,78.00,17.00,32.25,1080.7
10506240,196402,-0.61820,74.00,10.00,26.00,1134.2
11010048,210846,-0.61096,86.00,12.00,30.50,1187.8
11501568,224923,-0.60499,76.00,11.00,27.25,1239.9
12005376,239368,-0.59665,80.00,14.00,30.50,1293.4
12509184,253793,-0.61911,72.00,14.00,28.50,1347.0
13000704,267878,-0.59535,72.00,14.00,28.50,1399.1
13504512,282331,-0.57737,80.00,12.00,29.00,1452.6
14008320,296765,-0.61166,78.00,13.00,29.25,1505.8
14512128,311208,-0.57862,78.00,15.00,30.75,1558.9
15003648,325285,-0.57582,68.00,14.00,27.50,1611.1
15507456,339695,-0.58279,78.00,11.00,27.75,1664.4
16011264,354139,-0.59555,74.00,13.00,28.25,1717.9
16502784,368220,-0.56488,70.00,11.00,25.75,1769.8
17006592,382639,-0.60083,82.00,15.00,31.75,1823.2
17510400,397087,-0.60765,74.00,10.00,26.00,1876.7
18001920,411155,-0.60350,70.00,12.00,26.50,1928.6
18505728,425596,-0.59468,70.00,15.00,28.75,1981.9
19009536,440018,-0.56449,72.00,14.00,28.50,2035.4
19501056,454091,-0.55863,80.00,14.00,30.50,2087.5
20004864,468530,-0.58505,66.00,10.00,24.00,2140.9
20508672,482946,-0.52448,70.00,16.00,29.50,2194.3
21000192,497038,-0.52325,84.00,16.00,33.00,2246.5
21504000,511457,-0.54964,84.00,16.00,33.00,2300.0
22007808,525905,-0.57651,86.00,17.00,34.25,2353.2
22511616,540348,-0.59642,70.00,12.00,26.50,2406.9
23003136,554431,-0.56729,78.00,17.00,32.25,2460.2
23506944,568888,-0.57599,78.00,12.00,28.50,2513.8
