step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
503808,3120,-0.43512,98.00,0.00,24.50,58.2
1007616,5493,-0.40921,100.00,0.00,25.00,115.6
1511424,8376,0.04566,70.00,9.00,24.25,171.4
2002944,10275,-0.38281,38.00,8.00,15.50,225.5
2506752,10306,-0.39700,28.00,14.00,17.50,280.7
3010560,10306,-0.37306,22.00,12.00,14.50,336.0
3502080,10306,-0.37536,24.00,12.00,15.00,390.1
4005888,10306,-0.37287,24.00,3.00,8.25,445.7
4509696,10306,-0.44110,4.00,3.00,3.25,501.1
5001216,10306,-0.41249,6.00,5.00,5.25,555.2
5505024,10306,-0.42354,10.00,5.00,6.25,610.4
6008832,10306,-0.47063,10.00,4.00,5.50,665.8
6500352,10306,-0.43194,10.00,6.00,7.00,719.8
7004160,10306,-0.45151,16.00,3.00,6.25,775.1
7507968,10306,-0.48219,12.00,5.00,6.75,830.6
8011776,10306,-0.44713,12.00,4.00,6.00,885.7
8503296,10306,-0.45284,16.00,5.00,7.75,939.6
9007104,10306,-0.46388,24.00,5.00,9.75,994.9
9510912,10306,-0.49364,6.00,3.00,3.75,1050.2
10002432,10306,-0.44311,10.00,5.00,6.25,1104.2
10506240,10306,-0.46544,14.00,6.00,8.00,1159.4
11010048,10306,-0.48706,4.00,2.00,2.50,1214.8
11501568,10306,-0.53165,16.00,6.00,8.50,1268.9
12005376,10306,-0.49244,10.00,3.00,4.75,1324.2
12509184,10306,-0.49233,6.00,0.00,1.50,1379.3
13000704,10306,-0.48473,6.00,1.00,2.25,1433.5
13504512,10306,-0.47273,2.00,2.00,2.00,1488.7
14008320,10306,-0.49435,6.00,3.00,3.75,1544.1
14512128,10306,-0.50547,8.00,6.00,6.50,1599.2
15003648,10306,-0.44858,8.00,4.00,5.00,1653.1
15507456,10306,-0.47011,12.00,1.00,3.75,1708.3
16011264,10306,-0.47114,6.00,4.00,4.50,1763.6
16502784,10306,-0.49847,6.00,4.00,4.50,1817.6
17006592,10306,-0.51164,2.00,3.00,2.75,1872.9
17510400,10306,-0.47603,6.00,5.00,5.25,1928.1
18001920,10306,-0.47919,0.00,2.00,1.50,1982.1
18505728,10306,-0.48735,10.00,3.00,4.75,2037.5
19009536,10306,-0.50681,4.00,2.00,2.50,2092.9
19501056,10306,-0.51377,4.00,2.00,2.50,2146.8
20004864,10306,-0.51184,4.00,1.00,1.75,2202.2
20508672,10306,-0.50062,4.00,2.00,2.50,2257.3
21000192,10306,-0.49482,4.00,2.00,2.50,2311.2
21504000,10306,-0.48140,6.00,6.00,6.00,2366.4
22007808,10306,-0.49611,10.00,4.00,5.50,2421.6
22511616,10306,-0.49286,4.00,2.00,2.50,2477.0
23003136,10306,-0.50270,4.00,4.00,4.00,2530.8
23506944,10306,-0.42913,6.00,2.00,3.00,2586.1
